ID,Longitude,Latitude,Elevation,centroid
849026,-97727342,35591511,0,295
849025,-97362032,35493061,0,294
849024,-97538760,35504152,0,293
849023,-97517031,35504171,0,292
849022,-97483845,35328335,0,291
849021,-97956295,35009559,0,290
849020,-97698098,35475003,0,289
849019,-96728938,35798834,0,288
849018,-97514082,35406119,0,287
849017,-97397319,35454558,0,286
849016,-97361989,35442426,0,285
849015,-97538694,35319759,0,284
849014,-97531922,35523869,0,283
849013,-97816802,35667663,0,282
849012,-97326730,35485844,0,281
849011,-97556614,35543818,0,280
849010,-97540279,35561236,0,279
849009,-97583351,35456982,0,278
849008,-97473001,35645766,0,277
849007,-97527155,35515104,0,276
849006,-97556330,35482292,0,275
849005,-97574512,35489619,0,274
849004,-97503884,35445687,0,273
849003,-97512294,35356078,0,272
849002,-97212717,35244602,0,271
849001,-97521029,35341570,0,270
849000,-97556749,35453063,0,269
848999,-97596878,35561883,0,268
848998,-97665133,35564137,0,267
848997,-97611839,35587393,0,266
848996,-97592830,35594507,0,265
848995,-97645466,35489703,0,264
848994,-97740167,35271932,0,263
848993,-97442275,35522137,0,262
848992,-97515068,35441830,0,261
848991,-97544896,35435109,0,260
848990,-97627801,35486079,0,259
848989,-97296177,35529387,0,258
848988,-97751240,35585251,0,257
848987,-97512073,35522536,0,256
848986,-97636315,35435274,0,255
848985,-97540381,35587349,0,254
848984,-97803423,35274648,0,253
848983,-97043998,35673853,0,252
848982,-96981949,35535942,0,251
848981,-97733565,35435329,0,250
848980,-97976415,35291031,0,249
848979,-97370836,35456805,0,248
848978,-97394933,35414867,0,247
848977,-97388395,35406225,0,246
848976,-97958591,35046161,0,245
848975,-97882697,35138301,0,244
848974,-97878599,34865893,0,243
848973,-97185787,35482219,0,242
848972,-97186081,35406046,0,241
848971,-97664237,35554595,0,240
848970,-97628712,35558338,0,239
848969,-97521479,35703803,0,238
848968,-97489589,35442546,0,237
848967,-97514699,36011462,0,236
848966,-97545262,35816660,0,235
848965,-97429473,35178355,0,234
848964,-96893587,35731824,0,233
848963,-97751149,35465417,0,232
848962,-97482983,35391763,0,231
848961,-97525783,35413485,0,230
848960,-97106806,34909430,0,229
848959,-97467536,34913368,0,228
848958,-97397515,35471323,0,227
848957,-97397731,35117896,0,226
848956,-97520323,35468141,0,225
848955,-97538948,35474603,0,224
848954,-97544856,35645763,0,223
848953,-97610085,35529557,0,222
848952,-97432464,35431611,0,221
848951,-97459152,35359634,0,220
848950,-97595700,35531954,0,219
848949,-97602964,35270625,0,218
848948,-97565368,35386718,0,217
848947,-97238386,35867849,0,216
848946,-97476984,35413552,0,215
848945,-97440952,35657393,0,214
848944,-97203416,35333526,0,213
848943,-97445402,35455480,0,212
848942,-97525470,35496889,0,211
848941,-97346276,35334031,0,210
848940,-96821770,35695378,0,209
848939,-97628565,35544057,0,208
848938,-97525492,35489620,0,207
848937,-97552374,35504261,0,206
848936,-97389420,35522232,0,205
848935,-97450297,35444669,0,204
848934,-97310132,34991421,0,203
848933,-97309029,35232681,0,202
848932,-97472397,35489509,0,201
848931,-97592287,35505265,0,200
848930,-97485597,35500433,0,199
848929,-97504203,35500735,0,198
848928,-97605235,35401220,0,197
848927,-97760083,35391714,0,196
848926,-97576204,35580939,0,195
848925,-97538686,35482362,0,194
848924,-97620583,35623578,0,193
848923,-97647386,35602233,0,192
848922,-97629572,35587348,0,191
848921,-97523094,35473506,0,190
848920,-97505029,35660210,0,189
848919,-97197140,35514883,0,188
848918,-97963599,35435909,0,187
848917,-97534626,35435135,0,186
848916,-97450259,35428006,0,185
848915,-97751381,35486165,0,184
848914,-97691373,35455234,0,183
848913,-97423516,35232872,0,182
848912,-97928521,35040741,0,181
848911,-97498765,35225630,0,180
848910,-97450512,35894847,0,179
848909,-97520816,35092090,0,178
848908,-97567059,35355908,0,177
