"ID","Longitude","Latitude","Elevation","centroid","ID","Longitude","Latitude","GEOID"
255,-97458741,35406270,0.00,,,,,
529,-97451266,35406269,0.00,,,,,
256,-97441912,35420815,0.00,,,,,
532,-97448790,35420770,0.00,,,,,
257,-97476268,35420840,0.00,,,,,
258,-97472826,35420820,0.00,,,,,
1132,-97497203,35435328,0.00,,,,,
260,-97503900,35449820,0.00,,,,,
261,-97506860,35449580,0.00,,,,,
262,-97506810,35444746,0.00,,,,,
1151,-97506833,35441405,0.00,,,,,
263,-97516144,35452274,0.00,,,,,
264,-97516177,35458250,0.00,,,,,
1281,-97516175,35461234,0.00,,,,,
495,-97533039,35461995,0.00,,,,,
266,-97549999,35435200,0.00,,,,,
277,-97547178,35435210,0.00,,,,,
267,-97547931,35409800,0.00,,,,,
551,-97547927,35406039,0.00,,,,,
268,-97547900,35402250,0.00,,,,,
269,-97547890,35398846,0.00,,,,,
270,-97547860,35393959,0.00,,,,,
271,-97547840,35382236,0.00,,,,,
553,-97547548,35379149,0.00,,,,,
539,-97547850,35383568,0.00,,,,,
274,-97547540,35536653,0.00,,,,,
379,-97547563,35533222,0.00,,,,,
275,-97547922,35425872,0.00,,,,,
542,-97547930,35428348,0.00,,,,,
276,-97547919,35433636,0.00,,,,,
1145,-97545544,35435220,0.00,,,,,
278,-97543510,35437446,0.00,,,,,
1288,-97543500,35440573,0.00,,,,,
279,-97543509,35442316,0.00,,,,,
910,-97543501,35440348,0.00,,,,,
280,-97543699,35449766,0.00,,,,,
281,-97532534,35462117,0.00,,,,,
282,-97502762,35480445,0.00,,,,,
283,-97503535,35485223,0.00,,,,,
20116,-97502679,35482354,0.00,,,,,
677,-97503496,35482210,0.00,,,,,
10284,-97502632,35490142,0.00,,,,,
655,-97502795,35497046,0.00,,,,,
285,-97503179,35500612,0.00,,,,,
656,-97503148,35504257,0.00,,,,,
286,-97502849,35479953,0.00,,,,,
670,-97502740,35478043,0.00,,,,,
287,-97503364,35504507,0.00,,,,,
300,-97503369,35503033,0.00,,,,,
288,-97503348,35510332,0.00,,,,,
299,-97503324,35507499,0.00,,,,,
289,-97503126,35511557,0.00,,,,,
298,-97503109,35515201,0.00,,,,,
290,-97495911,35560603,0.00,,,,,
291,-97496205,35565610,0.00,,,,,
664,-97501291,35565606,0.00,,,,,
292,-97510505,35565585,0.00,,,,,
10078,-97514740,35565450,0.00,,,,,
666,-97514210,35553923,0.00,,,,,
294,-97514295,35550987,0.00,,,,,
667,-97514266,35547634,0.00,,,,,
295,-97514309,35543817,0.00,,,,,
959,-97514466,35539110,0.00,,,,,
668,-97503306,35516433,0.00,,,,,
297,-97503104,35517952,0.00,,,,,
594,-97503380,35499441,0.00,,,,,
301,-97502480,35478483,0.00,,,,,
302,-97521158,35459945,0.00,,,,,
303,-97521172,35457872,0.00,,,,,
304,-97521180,35455148,0.00,,,,,
505,-97521210,35450976,0.00,,,,,
305,-97521441,35441416,0.00,,,,,
306,-97509026,35435381,0.00,,,,,
584,-97510263,35437449,0.00,,,,,
307,-97507878,35431407,0.00,,,,,
308,-97508052,35427217,0.00,,,,,
309,-97508060,35423277,0.00,,,,,
1180,-97507860,35420780,0.00,,,,,
310,-97521209,35451101,0.00,,,,,
698,-97521196,35453085,0.00,,,,,
311,-97514506,35471874,0.00,,,,,
672,-97516484,35471923,0.00,,,,,
312,-97483782,35471463,0.00,,,,,
954,-97486151,35471479,0.00,,,,,
313,-97476720,35488692,0.00,,,,,
1224,-97476729,35491472,0.00,,,,,
314,-97476701,35494859,0.00,,,,,
315,-97476701,35496643,0.00,,,,,
316,-97476690,35500808,0.00,,,,,
317,-97476578,35522331,0.00,,,,,
1066,-97476543,35524060,0.00,,,,,
